"تاکسی پژو 405 GLX - دوگانه سوز CNG، مدل ۱۳۸۸","https://divar.ir/v/تاکسی-پژو-405-glx-دوگانه-سوز-cng-مدل-۱۳۸۸_سواری_تهران_شهران-شمالی_دیوار/QYPGtCq0","null" 
"پژو 405 GL بنزینی، مدل ۱۳۸۴","https://divar.ir/v/پژو-405-gl-بنزینی-مدل-۱۳۸۴_سواری_تهران_تهرانپارس-شرقی_دیوار/QY2eVWji","null" 
"سمند LX ساده، مدل ۱۳۹۸","https://divar.ir/v/سمند-lx-ساده-مدل-۱۳۹۸_سواری_تهران_پیروزی_دیوار/QYiGJZJN","null" 
"پژو پارس دوگانه سوز، مدل ۱۳۹۷","https://divar.ir/v/پژو-پارس-دوگانه-سوز-مدل-۱۳۹۷_سواری_تهران_شهر-ری-علائین_دیوار/QY2mVZmj","null" 
"پراید 131 SE، مدل ۱۳۹۸","https://divar.ir/v/پراید-131-se-مدل-۱۳۹۸_سواری_تهران_افسریه_دیوار/QY2elI3u","null" 
"پژو 206 تیپ ۲، مدل ۱۴۰۰","https://divar.ir/v/پژو-206-تیپ-۲-مدل-۱۴۰۰_سواری_تهران_شهرک-کیانشهر_دیوار/QY2i19JU","null" 
"پیکان وانت، مدل ۱۳۸۸","https://divar.ir/v/پیکان-وانت-مدل-۱۳۸۸_سواری_تهران_پردیس_دیوار/QYzuSBDQ","null" 
"تیبا صندوق‌دار SX، مدل ۱۳۹۹","https://divar.ir/v/تیبا-صندوق-دار-sx-مدل-۱۳۹۹_سواری_تهران_افسریه_دیوار/QY2a1407","null" 
"شاهین G، مدل ۱۴۰۰","https://divar.ir/v/شاهین-g-مدل-۱۴۰۰_سواری_تهران_پلیس_دیوار/QY2a1z0i","null" 
"چری تیگو 5 IE، مدل ۱۳۹۹","https://divar.ir/v/چری-تیگو-5-ie-مدل-۱۳۹۹_سواری_تهران_نازی-آباد_دیوار/QY2aF2bX","null" 
"برلیانس H330 اتوماتیک مدل۹۶","https://divar.ir/v/برلیانس-h330-اتوماتیک-مدل۹۶_سواری_تهران_شادآباد_دیوار/QY2W1wBI","null" 
"سراتو آپشنال ۲۰۰۰ صفر خشک","https://divar.ir/v/سراتو-آپشنال-۲۰۰۰-صفر-خشک_سواری_تهران_اسکندری_دیوار/QY2iV3Dx","null" 
"تیبا هاچبک EX، مدل ۱۴۰۰","https://divar.ir/v/تیبا-هاچبک-ex-مدل-۱۴۰۰_سواری_تهران_مهرآباد-جنوبی_دیوار/QY2i1tFW","null" 
"پژو 206 تیپ ۵، مدل ۱۳۹۶","https://divar.ir/v/پژو-206-تیپ-۵-مدل-۱۳۹۶_سواری_اسلام-شهر__دیوار/QY2iln8m","null" 
"پژو 405 GLX بنزینی، مدل ۱۳۷۹","https://divar.ir/v/پژو-405-glx-بنزینی-مدل-۱۳۷۹_سواری_تهران_ابوذر-منطقه-۱۵-_دیوار/QY2iVUY4","null" 
"پژو پارس ساده، مدل ۱۳۹۳","https://divar.ir/v/پژو-پارس-ساده-مدل-۱۳۹۳_سواری_تهران_رباط-کریم_دیوار/QY2i1Xmt","null" 
